epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,3480.32,3.5829,3.07758,2.48754,0.42151,0.63118,0.4809,0.20364,3.26926,4.04359,2.80273,0.00149702,0.00149702,0.00149702
105,3514.32,3.39026,3.08527,2.55557,0.36473,0.53402,0.4334,0.18666,3.26195,3.98038,2.85602,0.00149537,0.00149537,0.00149537
106,3547.46,3.52016,2.92276,2.50831,0.58679,0.31421,0.40415,0.18008,3.30013,3.72003,2.88387,0.00149372,0.00149372,0.00149372
107,3580.9,3.55083,3.05927,2.49686,0.40301,0.57134,0.4371,0.19491,3.2056,3.67976,2.8187,0.00149207,0.00149207,0.00149207
108,3614.7,3.47188,2.99373,2.51625,0.7441,0.30371,0.45634,0.21393,3.22464,3.70438,2.75147,0.00149041,0.00149041,0.00149041
109,3648.74,3.33107,2.74485,2.3718,0.72126,0.34699,0.44193,0.20765,3.11188,3.74928,2.73601,0.00148876,0.00148876,0.00148876
110,3683.13,3.36815,3.04907,2.3992,0.35357,0.42445,0.40853,0.18154,3.10092,3.71516,2.69371,0.00148711,0.00148711,0.00148711
111,3717.78,3.43287,2.75464,2.34845,0.46293,0.42077,0.41913,0.18606,3.02614,3.68447,2.67359,0.00148546,0.00148546,0.00148546
112,3752.82,3.29868,3.04898,2.42254,0.67169,0.36204,0.45129,0.14914,3.16817,3.46245,2.6861,0.00148381,0.00148381,0.00148381
113,3786.89,3.23462,2.93569,2.44208,0.6593,0.42079,0.44672,0.14363,2.98617,3.82501,2.6776,0.00148216,0.00148216,0.00148216
114,3820.87,3.10488,3.03515,2.38119,0.64791,0.39246,0.47091,0.14918,3.11144,3.84161,2.80122,0.00148051,0.00148051,0.00148051
115,3855.04,3.18935,2.79619,2.39717,0.44476,0.44672,0.36969,0.15269,3.11553,3.81159,2.84975,0.00147886,0.00147886,0.00147886
116,3889.76,3.21687,3.01124,2.39177,0.81715,0.44809,0.56741,0.21178,3.26384,3.7828,2.95053,0.00147721,0.00147721,0.00147721
117,3925.55,3.36245,3.09715,2.41386,0.52379,0.48587,0.40894,0.15847,3.09848,3.6842,2.83581,0.00147556,0.00147556,0.00147556
118,3960.37,3.35248,2.94575,2.41905,0.49039,0.3306,0.40194,0.16384,3.12718,3.34105,2.77263,0.00147391,0.00147391,0.00147391
119,3995.33,3.14995,2.72992,2.43737,0.56805,0.3306,0.39448,0.1759,3.1407,3.30289,2.89563,0.00147226,0.00147226,0.00147226
120,4030.59,3.25419,2.93363,2.40123,0.57595,0.4659,0.47401,0.18219,3.08105,3.25912,2.89117,0.00147061,0.00147061,0.00147061
121,4065.55,3.19174,2.97333,2.42944,0.67026,0.40574,0.50723,0.22202,3.35688,3.72161,3.03799,0.00146896,0.00146896,0.00146896
122,4099.98,3.44001,3.10785,2.47317,0.5865,0.51318,0.57045,0.27038,3.3822,4.08899,3.06051,0.00146731,0.00146731,0.00146731
123,4135.11,3.40531,3.17553,2.51052,0.69278,0.50546,0.60735,0.28703,3.26402,3.94137,2.9486,0.00146566,0.00146566,0.00146566
124,4169.29,3.22266,2.90033,2.32246,0.58277,0.46448,0.53668,0.30212,3.02648,3.33248,2.79464,0.00146401,0.00146401,0.00146401
125,4202.8,3.06392,2.91674,2.43542,0.55584,0.3698,0.44685,0.22139,3.34149,3.48465,2.98161,0.00146236,0.00146236,0.00146236
126,4235.56,3.12828,2.72119,2.3798,0.54294,0.39754,0.39711,0.18896,3.526,3.44597,3.03313,0.00146071,0.00146071,0.00146071
127,4268.63,3.12607,2.58071,2.34631,0.42993,0.32297,0.3003,0.15067,3.58698,3.6592,2.96657,0.00145906,0.00145906,0.00145906
128,4302.6,3.03089,2.61904,2.33434,0.52833,0.42213,0.38015,0.17356,3.33936,3.78467,2.86084,0.00145741,0.00145741,0.00145741
129,4335.85,3.0296,2.69601,2.33391,0.70289,0.40574,0.51817,0.21793,3.41583,3.62822,2.81411,0.00145576,0.00145576,0.00145576
130,4369.17,3.46868,2.98221,2.39696,0.68027,0.42809,0.49168,0.21004,3.36119,3.42106,2.85457,0.00145411,0.00145411,0.00145411
131,4402.42,3.31729,2.97051,2.47531,0.71445,0.41334,0.51174,0.24956,3.16911,3.27136,2.77079,0.00145246,0.00145246,0.00145246
132,4435.72,3.28427,2.96137,2.44554,0.6302,0.53005,0.60279,0.29267,3.02601,3.08643,2.72912,0.00145081,0.00145081,0.00145081
133,4469.3,3.14983,2.65721,2.32392,0.7871,0.51191,0.63624,0.29021,3.04215,3.13658,2.69147,0.00144916,0.00144916,0.00144916
134,4502.71,3.13844,2.63786,2.31838,0.61593,0.54376,0.5836,0.24994,2.82383,3.27028,2.74057,0.00144751,0.00144751,0.00144751
135,4536.22,3.04107,2.9238,2.40646,0.65255,0.41952,0.51796,0.2175,2.85112,3.28846,2.7667,0.00144586,0.00144586,0.00144586
136,4569.62,3.31522,2.75734,2.46129,0.64589,0.43712,0.52156,0.21899,2.78958,3.39371,2.84299,0.00144421,0.00144421,0.00144421
137,4602.9,3.0714,2.7065,2.33786,0.53166,0.64617,0.56403,0.24795,2.79328,3.23452,2.79169,0.00144256,0.00144256,0.00144256
138,4636.26,3.22437,2.70422,2.38168,0.64474,0.5934,0.58406,0.29471,2.82229,3.12043,2.78316,0.0014409,0.0014409,0.0014409
139,4669.51,3.09502,2.75176,2.37681,0.62648,0.59108,0.59536,0.31407,2.71899,3.24763,2.70871,0.00143925,0.00143925,0.00143925
140,4702.97,2.97429,2.44004,2.35487,0.79293,0.38115,0.50649,0.26404,2.93762,3.27515,2.66405,0.0014376,0.0014376,0.0014376
141,4736.45,3.4384,3.00522,2.41234,0.75211,0.40719,0.5129,0.26566,2.88239,3.1891,2.67943,0.00143595,0.00143595,0.00143595
142,4770.12,3.38338,2.94109,2.47457,0.47644,0.53005,0.53514,0.28791,2.97361,3.10684,2.68242,0.0014343,0.0014343,0.0014343
143,4803.34,2.91244,2.60414,2.28957,0.63447,0.38095,0.44234,0.21816,3.74596,4.81664,3.31469,0.00143265,0.00143265,0.00143265
144,4837.17,3.46796,2.79029,2.52471,0.32091,0.26359,0.19878,0.0849,4.37015,6.63596,3.94728,0.001431,0.001431,0.001431
145,4870.61,3.31534,2.70927,2.44497,0.26409,0.27322,0.16848,0.06953,4.59768,7.23618,4.36903,0.00142935,0.00142935,0.00142935
146,4903.73,3.24134,2.54511,2.35144,0.21979,0.25927,0.12578,0.04967,4.91984,9.01734,4.54651,0.0014277,0.0014277,0.0014277
