                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     40,                0.81429,                0.76142,                 1.0446,                 1.0872,                 1.0317,                 1.0831,                0.65489,                0.74818,                0.80344,                0.50989,                 0.8916,                0.79128,                0.99345,                 1.1799,                0.96863,                 1.0346,              0.0016043,              0.0016043,              0.0016043
                     41,                0.82469,                0.78143,                 1.0475,                 1.0715,                 1.0627,                 1.0938,                0.73169,                 0.5413,                0.60769,                0.47998,                0.88032,                0.80331,                0.95711,                 1.0412,                 1.3312,                0.99258,              0.0016026,              0.0016026,              0.0016026
                     42,                 0.8226,                0.78831,                  1.051,                 1.0823,                 1.0483,                  1.093,                0.75464,                0.56855,                0.65365,                 0.4674,                0.99104,                0.81985,                 1.0612,                 1.1816,                 1.2276,                 1.0914,               0.001601,               0.001601,               0.001601
                     43,                0.86032,                0.82293,                 1.0657,                 1.0932,                 1.1363,                 1.0909,                0.47705,                0.58478,                0.57885,                0.42566,                 1.0521,                0.86489,                 1.0955,                 1.2494,                 1.1846,                 1.1375,              0.0015993,              0.0015993,              0.0015993
                     44,                0.85798,                0.80739,                 1.0672,                 1.0941,                 1.0582,                  1.087,                0.67458,                0.51896,                 0.6112,                0.47836,                0.90612,                0.82767,                0.98186,                 1.0611,                 1.1213,                0.98796,              0.0015977,              0.0015977,              0.0015977
                     45,                0.77406,                0.75131,                 1.0309,                0.98182,                0.98282,                 1.0682,                0.85061,                0.56304,                 0.6935,                0.49112,                0.97265,                0.71583,                 1.0395,                 1.2487,                0.98479,                  1.015,               0.001596,               0.001596,               0.001596
                     46,                0.80121,                0.72058,                 1.0497,                0.99872,                0.96011,                  1.076,                0.96006,                0.51557,                0.67328,                0.54175,                0.80384,                0.68657,                0.94828,                 1.0929,                 1.0627,                 1.0036,              0.0015944,              0.0015944,              0.0015944
                     47,                 0.8125,                0.75095,                 1.0586,                 1.0341,                 0.9999,                 1.0879,                0.92232,                0.57585,                0.69165,                0.54771,                0.82704,                0.73703,                0.96157,                 1.0452,                 1.0185,                0.97281,              0.0015927,              0.0015927,              0.0015927
                     48,                0.80074,                0.72568,                 1.0497,                 1.0052,                0.99808,                 1.0915,                0.93282,                0.56842,                0.71838,                 0.4912,                0.96724,                0.70979,                0.98951,                  1.199,                0.98424,                 1.0105,              0.0015911,              0.0015911,              0.0015911
                     49,                0.79504,                0.74894,                 1.0428,                 1.0256,                 1.0344,                 1.0865,                0.58479,                0.58478,                0.67867,                0.46468,                0.87604,                0.71626,                0.99065,                 1.1188,                 1.1626,                0.99426,              0.0015894,              0.0015894,              0.0015894
                     50,                0.78171,                0.76094,                 1.0295,                0.98292,                0.99946,                 1.0557,                0.75104,                0.57865,                0.63555,                0.44892,                0.91054,                 0.7304,                 1.0318,                 1.3163,                 1.0911,                 1.0854,              0.0015878,              0.0015878,              0.0015878
                     51,                0.76892,                0.75689,                 1.0327,                0.99885,                0.98379,                 1.0565,                0.90273,                0.59218,                0.68287,                0.49029,                0.85074,                 0.6828,                0.95694,                 1.1622,                 1.0778,                 1.0048,              0.0015861,              0.0015861,              0.0015861
                     52,                0.76989,                0.71509,                  1.011,                 1.0063,                0.95432,                 1.0665,                0.51499,                0.06522,                0.01452,                0.00926,                 2.1259,                 6.7867,                  2.548,                 1.7105,                   5.54,                 1.6265,              0.0015845,              0.0015845,              0.0015845
                     53,                0.77581,                0.73671,                 1.0169,                 1.0437,                0.97031,                 1.0557,                0.70189,                0.49339,                0.55373,                0.43972,                0.90883,                0.78454,                0.96808,                 1.1926,                 1.2289,                 1.0183,              0.0015828,              0.0015828,              0.0015828
                     54,                0.77269,                0.71118,                 1.0358,                0.99714,                0.95218,                 1.0719,                 0.6445,                0.41657,                0.44577,                0.35377,                 1.0688,                 1.1455,                 1.1796,                 1.2418,                 2.0168,                 1.1701,              0.0015812,              0.0015812,              0.0015812
                     55,                0.79205,                0.74524,                 1.0371,                 1.0194,                0.98311,                 1.0762,                0.43311,                0.28159,                0.33594,                0.27507,                 1.2376,                 1.4959,                 1.4244,                 1.3568,                 2.1996,                 1.3421,              0.0015795,              0.0015795,              0.0015795
                     56,                0.77104,                0.70331,                 1.0551,                 1.0036,                0.96675,                 1.0882,                 0.5394,                0.66304,                0.68315,                0.48775,                0.83012,                0.72523,                0.94139,                 1.1062,                 1.0493,                 1.0114,              0.0015779,              0.0015779,              0.0015779
                     57,                0.78219,                0.71865,                 1.0445,                0.98671,                0.96819,                 1.0649,                 0.8144,                0.54351,                0.65134,                0.49128,                0.89145,                0.70533,                0.99562,                 1.2178,                  1.025,                 1.0292,              0.0015762,              0.0015762,              0.0015762
                     58,                0.75422,                0.70462,                 1.0286,                0.99803,                0.94583,                 1.0564,                0.61685,                0.70652,                0.68493,                0.48699,                0.82866,                0.82545,                0.94091,                 1.1753,                   1.01,                 0.9527,              0.0015746,              0.0015746,              0.0015746
                     59,                0.78477,                0.76791,                 1.0395,                0.96294,                 1.0201,                 1.0544,                0.90131,                0.51766,                 0.6118,                0.46844,                0.97774,                0.88355,                 1.0092,                 1.1819,                 1.2362,                0.99486,              0.0015729,              0.0015729,              0.0015729
                     60,                0.79005,                0.73857,                 1.0413,                 1.0111,                0.99886,                 1.0579,                0.95343,                0.54374,                0.61368,                0.49078,                0.95779,                0.84643,                 1.0379,                 1.2371,                  1.224,                 1.0429,              0.0015713,              0.0015713,              0.0015713
                     61,                0.80327,                0.74396,                 1.0441,                 1.0415,                0.99544,                 1.0733,                0.60094,                 0.4413,                0.42277,                0.35157,                 1.0533,                 1.1583,                 1.2045,                 1.1832,                 1.9168,                 1.1499,              0.0015696,              0.0015696,              0.0015696
                     62,                0.76939,                0.71817,                 1.0313,                0.98543,                 0.9371,                 1.0467,                0.76518,                0.58478,                0.67477,                0.51265,                0.86846,                0.68164,                0.95807,                 1.1549,                0.79472,                0.98688,               0.001568,               0.001568,               0.001568
                     63,                0.75629,                0.69811,                 1.0122,                 0.9815,                0.91765,                  1.033,                0.97156,                0.58478,                0.69392,                0.52683,                0.93866,                0.70717,                 1.0138,                 1.2462,                0.83258,                  1.043,              0.0015663,              0.0015663,              0.0015663
                     64,                 0.7691,                0.72142,                 1.0413,                0.98043,                0.95683,                 1.0667,                0.84127,                0.56304,                0.63538,                0.50579,                 0.8474,                0.71959,                0.93559,                 1.1102,                0.92913,                0.98105,              0.0015647,              0.0015647,              0.0015647
                     65,                0.74106,                 0.6925,                 1.0196,                0.97662,                0.94962,                 1.0481,                0.91055,                0.64077,                 0.7051,                0.52629,                 0.8685,                0.67423,                0.94912,                 1.1877,                0.82678,                0.99454,               0.001563,               0.001563,               0.001563
                     66,                0.73197,                0.70073,                 1.0199,                0.97774,                0.93591,                 1.0598,                 0.4443,                0.34684,                0.40045,                0.31757,                0.88774,                 1.0858,                 1.0796,                 1.2261,                 1.8932,                 1.1746,              0.0015614,              0.0015614,              0.0015614
                     67,                0.73077,                0.70268,                 1.0136,                0.94712,                0.90935,                 1.0432,                 0.9567,                0.51153,                0.70328,                0.50038,                0.86904,                0.72855,                0.95294,                 1.2361,                 0.9604,                 1.0292,              0.0015597,              0.0015597,              0.0015597
                     68,                0.71178,                0.65615,                 1.0111,                0.94689,                0.81885,                 1.0523,                0.68351,                0.64262,                0.69778,                0.51224,                0.87864,                0.74942,                0.94315,                 1.1246,                 1.0372,                0.95248,              0.0015581,              0.0015581,              0.0015581
                     69,                0.74174,                0.66425,                 1.0303,                0.94446,                0.85064,                 1.0487,                0.47181,                0.19565,                0.27624,                0.21403,                 1.2948,                 2.1549,                 1.5465,                 1.3711,                 2.6455,                 1.3248,              0.0015564,              0.0015564,              0.0015564
                     70,                0.73644,                0.65212,                 1.0214,                0.97168,                0.84781,                 1.0521,                0.88527,                 0.3913,                0.40551,                0.33917,                0.89538,                 1.0358,                 1.0589,                 1.2471,                 2.0115,                 1.1066,              0.0015548,              0.0015548,              0.0015548
                     71,                0.72514,                0.68175,                 1.0027,                0.93352,                 0.8653,                 1.0349,                 0.6831,                0.28245,                0.35204,                0.24672,                 1.1145,                 1.6946,                 1.3575,                 1.3629,                 2.3547,                 1.4409,              0.0015531,              0.0015531,              0.0015531
                     72,                  0.693,                0.65684,                 1.0051,                0.94569,                  0.844,                 1.0402,                0.81125,                0.55891,                0.62156,                0.45435,                0.96675,                0.76008,                 1.0675,                 1.2838,                 1.0747,                 1.0463,              0.0015515,              0.0015515,              0.0015515
                     73,                0.71258,                 0.6567,                 1.0149,                0.92288,                 0.8643,                 1.0413,                0.61674,                0.58679,                 0.6228,                0.48073,                0.95641,                0.78794,                 1.0285,                 1.1769,                 1.0677,                 1.0265,              0.0015498,              0.0015498,              0.0015498
                     74,                0.72373,                0.63135,                 1.0182,                0.95183,                0.83568,                 1.0357,                0.95774,                0.23575,                0.27954,                0.22361,                 1.1242,                 1.6951,                 1.3039,                 1.3254,                 2.7809,                  1.336,              0.0015482,              0.0015482,              0.0015482
                     75,                0.72607,                0.65875,                 1.0058,                0.95132,                0.87385,                 1.0309,                0.69295,                0.57663,                0.67873,                0.48806,                0.82965,                 0.7257,                 1.0228,                 1.0768,                  1.028,                 1.0446,              0.0015465,              0.0015465,              0.0015465
                     76,                0.69812,                0.63659,                 1.0119,                  0.915,                 0.8177,                 1.0226,                0.93643,                0.32609,                 0.3781,                0.29953,                0.96036,                 1.1322,                 1.2254,                 1.3111,                   2.42,                 1.1756,              0.0015449,              0.0015449,              0.0015449
                     77,                0.71687,                0.62652,                 1.0125,                 0.9366,                0.80224,                 1.0233,                0.72435,                0.56304,                 0.6139,                0.49131,                0.82092,                0.65759,                0.95065,                 1.1432,                0.93105,                0.94983,              0.0015432,              0.0015432,              0.0015432
                     78,                0.66529,                0.62574,                0.98448,                0.89818,                0.79162,                 1.0091,                 0.7092,                0.61304,                0.65432,                0.47127,                0.89416,                0.73936,                 1.0187,                 1.1397,                 1.0976,                  1.001,              0.0015416,              0.0015416,              0.0015416
                     79,                0.69159,                0.61714,                0.99567,                0.89741,                0.83346,                 1.0132,                0.81573,                0.06522,                0.19067,                0.12652,                 1.9704,                  3.953,                    2.2,                 1.6273,                   3.56,                 1.5838,              0.0015399,              0.0015399,              0.0015399
                     80,                0.72114,                0.66761,                 1.0016,                0.92776,                0.88345,                 1.0303,                0.86555,                 0.4413,                0.46694,                0.38221,                 1.0139,                 1.2219,                 1.2077,                 1.2345,                 1.7621,                 1.1423,              0.0015383,              0.0015383,              0.0015383
                     81,                0.73266,                 0.6271,                 1.0395,                0.98759,                0.81947,                 1.0668,                0.89875,                0.57016,                0.70554,                0.51352,                0.80081,                 0.7299,                0.93052,                 1.1051,                0.98529,                0.94212,              0.0015366,              0.0015366,              0.0015366
                     82,                0.72368,                0.62485,                 1.0097,                0.95049,                0.81487,                 1.0365,                0.60428,                0.62826,                0.73791,                0.51782,                0.88274,                0.66597,                 0.9466,                 1.1986,                0.79745,                0.97945,               0.001535,               0.001535,               0.001535
                     83,                0.73843,                0.64557,                 1.0235,                 0.9844,                0.85032,                 1.0646,                0.48208,                0.41736,                 0.4151,                0.33831,                0.99235,                  1.219,                 1.1402,                 1.2371,                 1.8535,                 1.2276,              0.0015333,              0.0015333,              0.0015333
                     84,                0.70523,                0.63727,                 1.0134,                0.93701,                0.80977,                 1.0509,                0.85601,                0.58478,                0.68179,                0.50101,                0.86556,                0.67522,                 1.0043,                 1.1243,                0.97715,                 1.0151,              0.0015317,              0.0015317,              0.0015317
                     85,                0.69965,                0.61359,                0.99645,                0.92404,                0.80082,                 1.0197,                0.89894,                 0.5413,                0.68137,                0.51877,                0.82624,                0.71356,                0.92576,                 1.1243,                 0.9233,                0.95626,                0.00153,                0.00153,                0.00153
                     86,                0.66648,                0.63681,                0.99541,                0.89711,                0.78973,                 1.0276,                0.88087,                0.73154,                0.80876,                0.55226,                0.81718,                0.65018,                0.91691,                 1.0606,                 0.8329,                0.93782,              0.0015284,              0.0015284,              0.0015284
                     87,                0.70523,                0.63744,                0.99758,                 0.9275,                0.83032,                  1.039,                0.98611,                0.56304,                 0.7072,                0.50145,                0.79264,                0.72168,                0.91704,                 1.1345,                0.88346,                 0.9458,              0.0015267,              0.0015267,              0.0015267
                     88,                 0.7081,                0.64502,                 1.0117,                0.93907,                0.83137,                 1.0387,                0.73104,                0.56304,                0.64298,                0.49885,                0.84108,                0.80833,                 0.9498,                 1.1408,                0.91925,                0.99612,              0.0015251,              0.0015251,              0.0015251
                     89,                   0.71,                0.62528,                 1.0182,                0.97696,                0.83101,                 1.0425,                0.64233,                0.65053,                0.65659,                0.50202,                0.87224,                0.70896,                0.98313,                 1.1079,                0.92272,                 1.0334,              0.0015234,              0.0015234,              0.0015234
                     90,                0.65896,                0.62159,                0.96757,                0.89691,                0.84346,                 1.0029,                0.62927,                0.69572,                0.73696,                0.53583,                0.86805,                 0.7259,                0.97198,                 1.0456,                0.96202,                0.98702,              0.0015218,              0.0015218,              0.0015218
                     91,                0.68053,                0.61514,                0.97962,                0.92482,                0.77301,                 1.0062,                0.76632,                0.77826,                0.81248,                0.54371,                0.87199,                0.63879,                 1.0002,                 1.1669,                0.82515,                 1.0094,              0.0015201,              0.0015201,              0.0015201
                     92,                0.68556,                0.60057,                0.99826,                0.87151,                0.77567,                 1.0206,                0.87207,                0.64937,                0.68807,                0.50976,                 0.8309,                0.70918,                0.94449,                 1.1718,                0.97635,                 0.9514,              0.0015185,              0.0015185,              0.0015185
                     93,                0.69339,                0.64303,                0.99886,                0.91166,                0.79855,                 1.0388,                0.90809,                 0.4871,                0.57882,                0.43387,                0.88598,                0.87893,                 1.0113,                 1.1998,                 1.2403,                 1.0817,              0.0015168,              0.0015168,              0.0015168
                     94,                0.71392,                0.62929,                 1.0064,                0.93215,                0.81835,                 1.0361,                0.89232,                0.53324,                0.55147,                0.43659,                 0.8882,                0.81375,                0.98916,                 1.2283,                 1.5431,                 1.0739,              0.0015152,              0.0015152,              0.0015152
                     95,                0.72226,                0.65037,                 1.0114,                0.94311,                0.84261,                 1.0426,                0.76262,                0.65652,                0.81491,                0.55042,                0.84231,                0.66274,                0.95554,                 1.0706,                0.93195,                0.96287,              0.0015135,              0.0015135,              0.0015135
                     96,                0.69464,                0.65591,                 1.0182,                0.91919,                0.82002,                 1.0384,                 0.8947,                0.56304,                0.66874,                0.52132,                0.84479,                 0.7085,                0.96948,                  1.123,                0.98268,                0.97297,              0.0015119,              0.0015119,              0.0015119
                     97,                0.67753,                 0.6294,                0.99841,                0.91839,                0.82531,                 1.0408,                0.85739,                0.56533,                0.67768,                0.52899,                0.83696,                0.69461,                0.94826,                 1.0213,                 0.8634,                0.90743,              0.0015102,              0.0015102,              0.0015102
                     98,                0.67668,                0.61722,                0.98828,                0.87101,                0.81576,                 1.0149,                   0.74,                0.58478,                0.67975,                0.53341,                0.78042,                0.66452,                 0.9157,                  1.059,                 1.0615,                0.93287,              0.0015086,              0.0015086,              0.0015086
                     99,                0.71169,                0.63572,                 1.0192,                0.93428,                0.86368,                 1.0441,                0.62791,                  0.719,                0.74506,                0.54367,                0.90237,                 0.6332,                 0.9813,                 1.1397,                0.86631,                0.97993,              0.0015069,              0.0015069,              0.0015069
                    100,                0.70778,                0.64207,                 1.0219,                 0.9069,                0.83874,                 1.0555,                0.96874,                0.56258,                0.69206,                0.50816,                0.91459,                0.67982,                0.97777,                 1.2113,                0.81603,                  1.053,              0.0015053,              0.0015053,              0.0015053
                    101,                0.67391,                0.62501,                0.97508,                0.86637,                0.77514,                0.99765,                0.54086,                0.63478,                0.66272,                0.48743,                0.86546,                0.66848,                 0.9832,                 1.1586,                0.88517,                 1.0025,              0.0015036,              0.0015036,              0.0015036
                    102,                0.69916,                0.63893,                 1.0019,                 0.9067,                0.79537,                  1.024,                0.97082,                0.56304,                 0.7826,                0.54632,                0.82465,                0.68165,                0.92642,                 1.1283,                0.83392,                0.94764,               0.001502,               0.001502,               0.001502
                    103,                0.69568,                0.62704,                 1.0068,                0.89929,                0.80489,                 1.0262,                0.85282,                0.57813,                0.69933,                0.52261,                0.85309,                0.63669,                0.96965,                 1.1323,                0.80214,                0.97589,              0.0015003,              0.0015003,              0.0015003
                    104,                0.67171,                0.60531,                0.99659,                0.87009,                0.77538,                 1.0163,                0.93547,                0.53237,                0.62479,                0.48135,                0.87555,                0.81174,                 1.0044,                 1.2264,                 1.3872,                 1.0626,              0.0014987,              0.0014987,              0.0014987
                    105,                0.68115,                0.61675,                 1.0009,                0.90129,                  0.803,                 1.0252,                0.90316,                0.55828,                0.65217,                0.48898,                0.91451,                0.61659,                  1.007,                 1.2469,                0.87412,                 1.0539,               0.001497,               0.001497,               0.001497
