epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
144,4833.21,3.42876,2.80804,2.48939,0.55897,0.3868,0.43797,0.16852,3.2657,3.50893,2.77841,0.001431,0.001431,0.001431
145,4866.21,2.96999,2.67368,2.39826,0.58074,0.31421,0.39393,0.16721,3.29409,3.44487,2.77878,0.00142935,0.00142935,0.00142935
146,4899.26,3.09317,2.62031,2.35996,0.50999,0.43844,0.3835,0.15456,3.07082,3.40096,2.74825,0.0014277,0.0014277,0.0014277
147,4932.16,3.06764,2.7167,2.33677,0.61519,0.43033,0.41522,0.17355,3.23602,3.39773,2.83641,0.00142605,0.00142605,0.00142605
148,4965.19,3.19928,2.677,2.44164,0.52921,0.45299,0.4779,0.19739,3.26081,3.43203,2.79385,0.0014244,0.0014244,0.0014244
149,4998.34,3.1802,2.59609,2.29502,0.4953,0.55425,0.5333,0.21672,3.30297,3.4295,2.78707,0.00142275,0.00142275,0.00142275
150,5031.25,2.85908,2.59557,2.33665,0.44064,0.43852,0.43752,0.17223,3.05133,3.4844,2.78925,0.0014211,0.0014211,0.0014211
151,5064.26,3.04918,2.56267,2.28279,0.28117,0.42213,0.32089,0.12706,3.0652,3.80744,2.77636,0.00141945,0.00141945,0.00141945
152,5097.42,3.27789,2.93784,2.39888,0.36217,0.55464,0.35566,0.1462,3.10022,3.62464,2.73489,0.0014178,0.0014178,0.0014178
153,5130.28,3.2254,2.80947,2.41758,0.37495,0.545,0.43472,0.17484,3.06105,3.71956,2.7241,0.00141615,0.00141615,0.00141615
154,5163.38,3.05599,2.66745,2.26187,0.5532,0.49727,0.44342,0.15308,3.34264,3.64584,2.8625,0.0014145,0.0014145,0.0014145
155,5196.61,3.19403,2.77886,2.35693,0.65778,0.48907,0.46292,0.14878,3.47802,3.65611,2.88677,0.00141285,0.00141285,0.00141285
156,5229.87,3.19429,2.80456,2.36438,0.6833,0.4202,0.52145,0.19346,3.39372,3.58301,2.88548,0.0014112,0.0014112,0.0014112
157,5263.21,3.08086,2.7021,2.32472,0.71407,0.43418,0.53084,0.20579,3.37012,3.45268,2.82181,0.00140955,0.00140955,0.00140955
158,5297.29,3.18396,2.77819,2.39556,0.68624,0.43852,0.52034,0.20398,3.21381,3.30333,2.75147,0.0014079,0.0014079,0.0014079
159,5331.44,3.04754,2.79007,2.31401,0.5161,0.47131,0.5323,0.22422,3.12354,3.23598,2.69849,0.00140625,0.00140625,0.00140625
160,5365.73,2.92636,2.52333,2.29731,0.77749,0.50546,0.53307,0.23241,3.0796,3.03791,2.62692,0.0014046,0.0014046,0.0014046
161,5399.65,3.01541,2.37299,2.30822,0.7246,0.50546,0.54446,0.2349,3.20732,2.85023,2.63141,0.00140295,0.00140295,0.00140295
162,5433.83,3.0483,2.56841,2.25892,0.78511,0.49726,0.5524,0.22746,3.21761,2.85877,2.66311,0.0014013,0.0014013,0.0014013
163,5468.12,3.27665,2.7361,2.50999,0.64702,0.429,0.46498,0.24136,3.31609,2.9664,2.68326,0.00139965,0.00139965,0.00139965
164,5502.55,3.07945,2.67392,2.26973,0.52759,0.34699,0.46665,0.19879,3.35908,3.42513,2.82807,0.001398,0.001398,0.001398
165,5536.38,2.93957,2.26167,2.27924,0.5242,0.44351,0.48029,0.21719,3.31771,3.15645,2.79857,0.00139635,0.00139635,0.00139635
