epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,4519.17,3.02424,2.68767,2.2933,0.84693,0.40798,0.58593,0.26064,3.22906,3.10841,2.67691,0.00144586,0.00144586,0.00144586
136,4552.3,3.19972,2.97673,2.50544,0.46283,0.55181,0.38028,0.15394,3.29399,3.29406,2.73115,0.00144421,0.00144421,0.00144421
137,4585.19,3.19404,2.75975,2.33724,0.51369,0.40677,0.3939,0.17448,3.40768,3.21898,2.74201,0.00144256,0.00144256,0.00144256
138,4618.38,3.33557,2.75801,2.46559,0.67663,0.39804,0.44832,0.19746,3.42463,3.23927,2.72736,0.0014409,0.0014409,0.0014409
139,4651.55,3.36121,2.78727,2.44796,0.48089,0.61339,0.48918,0.21862,3.1972,3.35576,2.70284,0.00143925,0.00143925,0.00143925
140,4684.62,3.05332,2.60035,2.38189,0.76532,0.52444,0.58572,0.26479,3.28159,3.07203,2.95844,0.0014376,0.0014376,0.0014376
141,4717.64,3.24986,2.77238,2.28511,0.57922,0.57909,0.53091,0.24306,3.38259,2.97938,3.09489,0.00143595,0.00143595,0.00143595
142,4750.7,3.19372,2.61002,2.32921,0.43585,0.55346,0.47793,0.20787,3.28059,3.19635,3.01226,0.0014343,0.0014343,0.0014343
143,4783.75,3.23345,2.74376,2.37517,0.3809,0.57104,0.4419,0.21486,3.21901,3.18411,2.90834,0.00143265,0.00143265,0.00143265
144,4816.23,3.29994,2.8652,2.43607,0.52367,0.65437,0.60826,0.2723,2.99912,2.80742,2.65626,0.001431,0.001431,0.001431
145,4848.78,3.18703,2.69316,2.34757,0.77777,0.47304,0.61673,0.29691,3.01772,2.74156,2.70437,0.00142935,0.00142935,0.00142935
146,4881.78,3.23005,2.71287,2.3592,0.71032,0.51366,0.59923,0.28472,3.03141,2.87487,2.71521,0.0014277,0.0014277,0.0014277
147,4914.65,2.83628,2.56,2.28568,0.53539,0.56284,0.57944,0.25235,3.15842,2.83168,2.90085,0.00142605,0.00142605,0.00142605
148,4947.74,3.22745,2.52334,2.45091,0.69351,0.61356,0.59481,0.22727,3.24221,2.89251,2.74419,0.0014244,0.0014244,0.0014244
149,4980.67,3.36281,2.64432,2.39484,0.70183,0.55452,0.51776,0.21383,3.19808,2.92307,2.70525,0.00142275,0.00142275,0.00142275
150,5013.33,2.9277,2.59704,2.25313,0.65927,0.53825,0.46381,0.20478,3.17165,3.01933,2.70891,0.0014211,0.0014211,0.0014211
151,5046.19,3.21258,2.64254,2.31316,0.53922,0.56284,0.45517,0.19836,3.09239,3.06474,2.657,0.00141945,0.00141945,0.00141945
152,5079.36,3.18324,2.78267,2.34605,0.53191,0.55727,0.52351,0.24239,2.93824,3.09008,2.593,0.0014178,0.0014178,0.0014178
153,5112.28,3.34862,2.55058,2.42449,0.55343,0.58547,0.59304,0.2294,3.08872,3.21398,2.71545,0.00141615,0.00141615,0.00141615
154,5145.3,3.18476,2.58642,2.32783,0.58399,0.55464,0.58292,0.22684,3.11258,3.18705,2.74449,0.0014145,0.0014145,0.0014145
155,5178.15,3.1413,2.50591,2.36566,0.77467,0.49406,0.61835,0.24299,3.18195,3.13885,2.69176,0.00141285,0.00141285,0.00141285
156,5211.26,2.9332,2.57203,2.31736,0.47157,0.55121,0.49615,0.20808,3.45775,3.56748,2.91418,0.0014112,0.0014112,0.0014112
157,5244.3,3.20325,2.74241,2.36408,0.47188,0.43169,0.40288,0.12197,3.73591,4.92199,3.18029,0.00140955,0.00140955,0.00140955
158,5277.22,3.18374,2.8075,2.45436,0.36381,0.21585,0.20296,0.07414,4.26061,7.32264,3.72195,0.0014079,0.0014079,0.0014079
159,5309.91,3.12438,2.76683,2.33375,0.26351,0.14071,0.09735,0.04477,4.72699,8.07887,4.24491,0.00140625,0.00140625,0.00140625
160,5343.46,3.17235,2.55486,2.37109,0.22516,0.10792,0.07677,0.03988,5.11996,8.82472,5.29492,0.0014046,0.0014046,0.0014046
161,5377.5,3.08543,2.59067,2.25549,0.17094,0.12021,0.06013,0.02871,5.15622,9.07376,5.43113,0.00140295,0.00140295,0.00140295
162,5411.35,3.04786,2.60243,2.35066,0.03419,0.1653,0.03563,0.01969,5.11891,9.68913,5.45631,0.0014013,0.0014013,0.0014013
163,5445.3,3.2259,2.74782,2.38272,0.04873,0.1653,0.04463,0.02389,5.32035,9.78755,5.32016,0.00139965,0.00139965,0.00139965
164,5479.54,3.26076,2.5882,2.28221,0.05608,0.3224,0.07448,0.03826,4.88982,8.12819,4.68864,0.001398,0.001398,0.001398
165,5513.75,3.15265,2.64747,2.30742,0.23725,0.17255,0.12952,0.06085,4.22576,6.32443,3.62475,0.00139635,0.00139635,0.00139635
166,5548.04,3.39684,2.86786,2.4433,0.34272,0.26744,0.24603,0.11085,3.31622,4.33095,2.83394,0.0013947,0.0013947,0.0013947
167,5582.21,3.52686,2.97572,2.42037,0.51269,0.37056,0.39944,0.17288,2.90404,3.53562,2.6097,0.00139305,0.00139305,0.00139305
168,5616.68,3.03861,2.66039,2.23193,0.38482,0.28825,0.29004,0.1286,3.07882,3.59188,2.62788,0.00139139,0.00139139,0.00139139
169,5650.4,3.30296,2.83983,2.34853,0.59237,0.29908,0.27565,0.12852,3.12505,3.60185,2.65493,0.00138974,0.00138974,0.00138974
170,5683.48,3.09209,2.46507,2.22283,0.51275,0.38661,0.28697,0.13824,3.10014,3.58233,2.66177,0.00138809,0.00138809,0.00138809
171,5716.83,3.20644,2.83679,2.31009,0.33604,0.4112,0.37318,0.15787,2.83735,3.64277,2.58295,0.00138644,0.00138644,0.00138644
172,5749.94,2.90042,2.50962,2.28373,0.61201,0.42227,0.46429,0.17814,3.17148,3.45959,2.67826,0.00138479,0.00138479,0.00138479
173,5782.55,3.0433,2.53291,2.38106,0.60848,0.3605,0.46466,0.18965,3.08874,3.50138,2.66164,0.00138314,0.00138314,0.00138314
174,5815.26,2.96271,2.74248,2.29312,0.76522,0.34595,0.48574,0.19936,3.08146,3.32865,2.68375,0.00138149,0.00138149,0.00138149
175,5848.29,3.02589,2.51085,2.2758,0.57836,0.45492,0.54677,0.21426,3.1009,3.13477,2.71211,0.00137984,0.00137984,0.00137984
176,5881.11,2.80782,2.28091,2.1847,0.39492,0.29645,0.35808,0.15271,2.94806,3.29691,2.64914,0.00137819,0.00137819,0.00137819
177,5914.08,3.12072,2.43843,2.30751,0.50208,0.41257,0.43631,0.16388,3.0324,3.23934,2.72453,0.00137654,0.00137654,0.00137654
178,5946.82,3.31396,2.59796,2.38688,0.55329,0.44863,0.51726,0.19315,3.02093,3.29753,2.78554,0.00137489,0.00137489,0.00137489
179,5979.98,3.12005,2.47174,2.35715,0.56606,0.41582,0.50901,0.19726,3.01131,3.42606,2.80656,0.00137324,0.00137324,0.00137324
180,6013.93,3.06768,2.41495,2.34739,0.3363,0.41393,0.26847,0.13067,3.30234,3.94438,2.94539,0.00137159,0.00137159,0.00137159
181,6046.76,3.27648,2.56328,2.37637,0.32855,0.38934,0.24118,0.11553,3.61757,4.73301,3.23041,0.00136994,0.00136994,0.00136994
182,6079.55,3.07232,2.47992,2.3018,0.32028,0.3694,0.22157,0.09949,3.70512,5.21918,3.30566,0.00136829,0.00136829,0.00136829
